pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,,no.,sequential,random
-50,x,,,,,8,2,34,0,221.0581823,222.0555055,222.0555055,222.0555055,222.0555055,222.0721264,223.0526062,223.0526062,x,1,0.6076536,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,8,3,35,3,223.6839279,224.6812781,224.6812781,224.6812781,224.6812781,224.6978825,225.6784945,225.6784945,z,1,0.5457948,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,9,0,36,1,226.2439382,227.2413381,227.2413381,227.2413381,227.2413381,227.2580553,228.2383733,228.2383733,v,1,0.486405,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,9,1,37,1,228.7535801,229.7508798,229.7508798,229.7508798,229.7508798,229.7676308,230.7477636,230.7477636,v,1,0.4682831,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,9,2,38,0,231.2473328,232.2445297,232.2445297,232.2445297,232.2445297,232.2608278,233.2418895,233.2418895,x,1,0.6988064,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,9,3,39,3,233.9562221,234.9538935,234.9538935,234.9538935,234.9538935,234.9701662,235.9512408,235.9512408,z,1,0.4601953,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,10,0,40,0,236.4329402,237.4304229,237.4304229,237.4304229,237.4304229,237.4469552,238.4274463,238.4274463,x,1,0.563283,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,10,1,41,3,239.0093354,240.0065689,240.0065689,240.0065689,240.0065689,240.0231811,241.0037242,241.0037242,z,1,0.4482325,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
50,c,,,,,10,2,42,2,241.4694858,242.4664946,242.4664946,242.4664946,242.4664946,242.4830057,243.4637123,243.4637123,c,1,0.4292774,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,10,3,43,0,243.9125465,244.909612,244.909612,244.909612,244.909612,244.926193,245.9070683,245.9070683,x,1,0.5068487,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,11,0,44,1,246.4391889,247.4366294,247.4366294,247.4366294,247.4366294,247.4530163,248.4334196,248.4334196,v,1,0.426038,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-150,z,,,,,11,1,45,3,248.8823092,249.8797819,249.8797819,249.8797819,249.8797819,249.8960508,250.8770274,250.8770274,z,1,0.4071086,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
150,v,,,,,11,2,46,1,251.3091114,252.3067595,252.3067595,252.3067595,252.3067595,252.3229217,253.3038642,253.3038642,v,1,0.4644674,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
-50,x,,,,,11,3,47,0,253.7860158,254.7829584,254.7829584,254.7829584,254.7829584,254.7994066,255.7803258,255.7803258,x,1,0.6666164,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,,,
